"date","county","state","vehicle_primary_use","battery_electric_vehicles_bevs_","plug_in_hybrid_electric_vehicles_phevs_","electric_vehicle_ev_total","non_electric_vehicles","total_vehicles","percent_electric_vehicles"
"2018-04-30T00:00:00.000","Clallam","WA","Truck","0","0","0","21986","21986","0"
"2018-12-31T00:00:00.000","King","WA","Truck","7","1","8","187737","187745","0.004261098830861008282510852486"
"2018-08-31T00:00:00.000","Kent","DE","Passenger","0","1","1","73","74","1.351351351351351351351351351"
"2018-03-31T00:00:00.000","Santa Fe","NM","Passenger","0","1","1","39","40","2.500"
"2018-11-30T00:00:00.000","Adams","WA","Passenger","5","5","10","13141","13151","0.07603984487871644741844726637"
"2018-12-31T00:00:00.000","Kittitas","WA","Passenger","70","36","106","30074","30180","0.3512259774685222001325381047"
"2018-12-31T00:00:00.000","Oklahoma","OK","Passenger","0","1","1","117","118","0.8474576271186440677966101695"
"2018-08-31T00:00:00.000","Kitsap","WA","Passenger","901","507","1408","182444","183852","0.7658333877249091660683593325"
"2018-08-31T00:00:00.000","Kitsap","WA","Truck","1","0","1","54856","54857","0.001822921413857848588147364967"
"2018-12-31T00:00:00.000","Lane","OR","Passenger","0","1","1","167","168","0.5952380952380952380952380952"
"2018-11-30T00:00:00.000","Asotin","WA","Passenger","13","10","23","13002","13025","0.1765834932821497120921305182"
"2018-08-31T00:00:00.000","Kittitas","WA","Truck","0","0","0","14619","14619","0"
"2018-08-31T00:00:00.000","Klamath","OR","Passenger","1","0","1","25","26","3.846153846153846153846153846"
"2018-08-31T00:00:00.000","Grant","WA","Passenger","36","53","89","65365","65454","0.1359733553335166681944571760"
"2018-12-31T00:00:00.000","Lewis","WA","Truck","0","0","0","26495","26495","0"
"2018-12-31T00:00:00.000","Pima","AZ","Passenger","0","1","1","371","372","0.2688172043010752688172043011"
"2018-08-31T00:00:00.000","Kootenai","ID","Passenger","0","1","1","203","204","0.4901960784313725490196078431"
"2018-08-31T00:00:00.000","Grays Harbor","WA","Passenger","65","70","135","47957","48092","0.2807119687266073359394493887"
"2019-01-31T00:00:00.000","Brevard","FL","Passenger","0","1","1","79","80","1.2500"
"2018-12-31T00:00:00.000","Lincoln","WA","Truck","0","0","0","4780","4780","0"
"2018-12-31T00:00:00.000","Polk","FL","Passenger","1","0","1","64","65","1.538461538461538461538461538"
"2018-08-31T00:00:00.000","Guilford","NC","Passenger","1","0","1","26","27","3.703703703703703703703703704"
"2019-01-31T00:00:00.000","Bryan","GA","Passenger","1","0","1","59","60","1.666666666666666666666666667"
"2018-12-31T00:00:00.000","Prince William","VA","Passenger","0","4","4","253","257","1.556420233463035019455252918"
"2018-04-30T00:00:00.000","Cowlitz","WA","Passenger","66","83","149","72891","73040","0.2039978094194961664841182913"
"2018-08-31T00:00:00.000","Gwinnett","GA","Passenger","0","1","1","83","84","1.190476190476190476190476190"
"2018-12-31T00:00:00.000","Maricopa","AZ","Passenger","3","2","5","1362","1367","0.3657644476956839795171909290"
"2018-12-31T00:00:00.000","Marion","OR","Passenger","1","0","1","102","103","0.9708737864077669902912621359"
"2018-11-30T00:00:00.000","Chelan","WA","Truck","0","0","0","22747","22747","0"
"2018-12-31T00:00:00.000","Saint Clair","IL","Passenger","0","1","1","164","165","0.6060606060606060606060606061"
"2019-01-31T00:00:00.000","Chelan","WA","Truck","0","0","0","22774","22774","0"
"2018-12-31T00:00:00.000","San Francisco","CA","Passenger","2","1","3","109","112","2.678571428571428571428571429"
"2018-08-31T00:00:00.000","Hennepin","MN","Passenger","1","0","1","105","106","0.9433962264150943396226415094"
"2018-12-31T00:00:00.000","Sangamon","IL","Passenger","1","0","1","8","9","11.11111111111111111111111111"
"2019-01-31T00:00:00.000","Clackamas","OR","Passenger","0","1","1","197","198","0.5050505050505050505050505051"
"2018-11-30T00:00:00.000","Cochise","AZ","Passenger","0","1","1","125","126","0.7936507936507936507936507937"
"2018-12-31T00:00:00.000","Montgomery","PA","Passenger","2","0","2","24","26","7.692307692307692307692307692"
"2019-01-31T00:00:00.000","Cochise","AZ","Passenger","0","1","1","124","125","0.800"
"2018-12-31T00:00:00.000","Skamania","WA","Truck","0","0","0","4191","4191","0"
"2018-08-31T00:00:00.000","Maui","HI","Passenger","1","0","1","54","55","1.818181818181818181818181818"
"2018-11-30T00:00:00.000","Columbia","WA","Truck","0","0","0","1588","1588","0"
"2018-12-31T00:00:00.000","Nassau","NY","Passenger","2","0","2","30","32","6.2500"
"2018-12-31T00:00:00.000","Spokane","WA","Passenger","477","403","880","314289","315169","0.2792152781523563548445437210"
"2018-12-31T00:00:00.000","New Castle","DE","Passenger","1","0","1","24","25","4.00"
"2018-12-31T00:00:00.000","Spokane","WA","Truck","1","0","1","97086","97087","0.001030004017015666361098808285"
"2018-08-31T00:00:00.000","Jefferson","WA","Truck","0","0","0","9863","9863","0"
"2018-04-30T00:00:00.000","Fairfax City","VA","Passenger","1","0","1","9","10","10.0"
"2018-08-31T00:00:00.000","Juneau","AK","Passenger","0","1","1","39","40","2.500"
"2019-01-31T00:00:00.000","Denver","CO","Passenger","1","0","1","122","123","0.8130081300813008130081300813"
"2018-12-31T00:00:00.000","Pend Oreille","WA","Truck","0","0","0","5994","5994","0"
"2018-11-30T00:00:00.000","Denver","CO","Passenger","1","0","1","124","125","0.800"
"2019-01-31T00:00:00.000","Deschutes","OR","Passenger","2","0","2","145","147","1.360544217687074829931972789"
"2018-12-31T00:00:00.000","Tarrant","TX","Passenger","1","0","1","187","188","0.5319148936170212765957446809"
"2018-11-30T00:00:00.000","Deschutes","OR","Passenger","2","0","2","146","148","1.351351351351351351351351351"
"2018-08-31T00:00:00.000","Klickitat","WA","Truck","0","0","0","8436","8436","0"
"2018-12-31T00:00:00.000","Thurston","WA","Passenger","829","608","1437","198907","200344","0.7172663019606277203210477978"
"2018-03-31T00:00:00.000","Yakima","WA","Truck","0","0","0","60701","60701","0"
"2018-04-30T00:00:00.000","Glacier","MT","Passenger","0","1","1","4","5","20.0"
"2018-04-30T00:00:00.000","NULL","NULL","Passenger","8","2","10","2275","2285","0.4376367614879649890590809628"
"2018-04-30T00:00:00.000","Grant","WA","Passenger","34","46","80","64752","64832","0.1233958538993089832181638697"
"2018-11-30T00:00:00.000","El Paso","CO","Passenger","2","1","3","751","754","0.3978779840848806366047745358"
"2018-12-31T00:00:00.000","Ventura","CA","Passenger","0","2","2","321","323","0.6191950464396284829721362229"
"2018-08-31T00:00:00.000","Palm Beach","FL","Passenger","0","1","1","75","76","1.315789473684210526315789474"
"2018-04-30T00:00:00.000","Grays Harbor","WA","Passenger","57","59","116","47336","47452","0.2444575571103430835370479643"
"2018-12-31T00:00:00.000","Walla Walla","WA","Truck","0","0","0","13997","13997","0"
"2019-01-31T00:00:00.000","Garfield","WA","Truck","0","0","0","992","992","0"
"2018-04-30T00:00:00.000","Anne Arundel","MD","Passenger","0","3","3","467","470","0.6382978723404255319148936170"
"2018-11-30T00:00:00.000","Franklin","WA","Passenger","46","66","112","60222","60334","0.1856333079192495110551264627"
"2019-01-31T00:00:00.000","Goochland","VA","Passenger","0","1","1","187","188","0.5319148936170212765957446809"
"2018-11-30T00:00:00.000","Fresno","CA","Passenger","1","0","1","184","185","0.5405405405405405405405405405"
"2018-04-30T00:00:00.000","Asotin","WA","Passenger","8","6","14","12907","12921","0.1083507468462193328689729897"
"2018-12-31T00:00:00.000","Whatcom","WA","Truck","2","0","2","43852","43854","0.004560587403657591097733388060"
"2018-04-30T00:00:00.000","Hamilton","TN","Passenger","1","0","1","19","20","5.00"
"2019-01-31T00:00:00.000","NULL","NULL","Passenger","9","6","15","2155","2170","0.6912442396313364055299539171"
"2018-04-30T00:00:00.000","Hardin","KY","Passenger","0","1","1","120","121","0.8264462809917355371900826446"
"2019-01-31T00:00:00.000","NULL","WA","Passenger","0","0","0","2","2","0"
"2019-01-31T00:00:00.000","Adams","WA","Truck","0","0","0","5385","5385","0"
"2018-12-31T00:00:00.000","Wahkiakum","WA","Truck","0","0","0","1771","1771","0"
"2019-01-31T00:00:00.000","Alexandria City","VA","Passenger","4","0","4","162","166","2.409638554216867469879518072"
"2018-08-31T00:00:00.000","Montgomery","MD","Passenger","1","3","4","288","292","1.369863013698630136986301370"
"2018-12-31T00:00:00.000","Walla Walla","WA","Passenger","42","53","95","36813","36908","0.2573967703478920559228351577"
"2019-01-31T00:00:00.000","Kern","CA","Passenger","0","1","1","239","240","0.4166666666666666666666666667"
"2018-12-31T00:00:00.000","Washtenaw","MI","Passenger","1","0","1","33","34","2.941176470588235294117647059"
"2019-01-31T00:00:00.000","Kitsap","WA","Passenger","1059","578","1637","183177","184814","0.8857554081400759682708019955"
"2018-11-30T00:00:00.000","King","WA","Truck","7","1","8","187784","187792","0.004260032376246059470051972395"
"2018-08-31T00:00:00.000","Skagit","WA","Passenger","256","184","440","92718","93158","0.4723158504905644174413362245"
"2019-01-31T00:00:00.000","Lewis","WA","Passenger","102","89","191","59640","59831","0.3192325048887700356002741054"
"2018-04-30T00:00:00.000","King","WA","Passenger","12737","5584","18321","1390898","1409219","1.300081818368897949857332324"
"2018-08-31T00:00:00.000","Snohomish","WA","Passenger","2625","1406","4031","532720","536751","0.7509999981369387295039971980"
"2019-01-31T00:00:00.000","Lincoln","WA","Passenger","4","6","10","7984","7994","0.1250938203652739554665999500"
"2019-01-31T00:00:00.000","Adams","WA","Passenger","5","6","11","13136","13147","0.08366927816231839963489769529"
"2018-08-31T00:00:00.000","Snohomish","WA","Truck","1","0","1","125605","125606","0.0007961403117685460885626482811"
"2018-04-30T00:00:00.000","Klickitat","WA","Truck","0","0","0","8369","8369","0"
"2019-01-31T00:00:00.000","Albemarle","VA","Passenger","1","0","1","28","29","3.448275862068965517241379310"
"2019-01-31T00:00:00.000","Lumpkin","GA","Passenger","1","0","1","8","9","11.11111111111111111111111111"
"2018-08-31T00:00:00.000","Stevens","WA","Passenger","14","28","42","32637","32679","0.1285229046176443587625080327"
"2018-08-31T00:00:00.000","Stevens","WA","Truck","0","0","0","19491","19491","0"
"2019-01-31T00:00:00.000","Manassas City","VA","Passenger","0","1","1","9","10","10.0"
"2018-11-30T00:00:00.000","Lewis","WA","Passenger","96","78","174","59487","59661","0.2916478101272187861417006084"
"2019-01-31T00:00:00.000","Columbia","GA","Passenger","1","1","2","157","159","1.257861635220125786163522013"
"2018-11-30T00:00:00.000","Lewis","WA","Truck","0","0","0","26491","26491","0"
"2018-04-30T00:00:00.000","Larimer","CO","Passenger","0","1","1","54","55","1.818181818181818181818181818"
"2019-01-31T00:00:00.000","Contra Costa","CA","Passenger","1","0","1","207","208","0.4807692307692307692307692308"
"2019-01-31T00:00:00.000","Mason","WA","Truck","0","0","0","20891","20891","0"
"2018-08-31T00:00:00.000","Sumter","FL","Passenger","0","1","1","9","10","10.0"
"2019-01-31T00:00:00.000","Benton","WA","Passenger","248","252","500","135763","136263","0.3669374665169561803277485451"
"2018-04-30T00:00:00.000","Lewis","WA","Passenger","84","61","145","58713","58858","0.2463556355975398416527914642"
"2018-04-30T00:00:00.000","Lincoln","WA","Passenger","4","7","11","7862","7873","0.1397180236250476311444176299"
"2018-08-31T00:00:00.000","Travis","TX","Passenger","0","1","1","178","179","0.5586592178770949720670391061"
"2018-11-30T00:00:00.000","Manassas City","VA","Passenger","0","1","1","9","10","10.0"
"2018-11-30T00:00:00.000","Manatee","FL","Passenger","1","0","1","33","34","2.941176470588235294117647059"
"2019-01-31T00:00:00.000","Bucks","PA","Passenger","1","0","1","18","19","5.263157894736842105263157895"
"2019-01-31T00:00:00.000","Okanogan","WA","Passenger","3","7","10","6280","6290","0.1589825119236883942766295707"
"2018-08-31T00:00:00.000","San Francisco","CA","Passenger","1","1","2","116","118","1.694915254237288135593220339"
"2019-01-31T00:00:00.000","Oldham","KY","Passenger","0","1","1","4","5","20.0"
"2018-08-31T00:00:00.000","Virginia Beach City","VA","Passenger","1","1","2","675","677","0.2954209748892171344165435746"
"2019-01-31T00:00:00.000","El Paso","CO","Passenger","2","1","3","748","751","0.3994673768308921438082556591"
"2019-01-31T00:00:00.000","Orange","CA","Passenger","4","2","6","554","560","1.071428571428571428571428571"
"2018-04-30T00:00:00.000","Mason","WA","Truck","0","0","0","20531","20531","0"
"2018-08-31T00:00:00.000","Washington","OR","Passenger","0","1","1","443","444","0.2252252252252252252252252252"
"2018-08-31T00:00:00.000","Santa Fe","NM","Passenger","0","1","1","42","43","2.325581395348837209302325581"
"2018-11-30T00:00:00.000","Montgomery","PA","Passenger","2","0","2","24","26","7.692307692307692307692307692"
"2018-11-30T00:00:00.000","Montgomery","TX","Passenger","1","0","1","52","53","1.886792452830188679245283019"
"2019-01-31T00:00:00.000","Frederick","MD","Passenger","0","1","1","86","87","1.149425287356321839080459770"
"2018-04-30T00:00:00.000","El Paso","CO","Passenger","2","0","2","759","761","0.2628120893561103810775295664"
"2018-11-30T00:00:00.000","Multnomah","OR","Passenger","3","5","8","748","756","1.058201058201058201058201058"
"2019-01-31T00:00:00.000","Pierce","WA","Passenger","1805","1522","3327","550457","553784","0.6007757537234734120162373778"
"2019-01-31T00:00:00.000","Clallam","WA","Passenger","161","135","296","51336","51632","0.5732878834831112488379299659"
"2019-01-31T00:00:00.000","Garfield","OK","Passenger","1","0","1","14","15","6.666666666666666666666666667"
"2018-11-30T00:00:00.000","Okanogan","WA","Passenger","2","6","8","6342","6350","0.1259842519685039370078740157"
"2019-01-31T00:00:00.000","Clark","NV","Passenger","2","1","3","674","677","0.4431314623338257016248153619"
"2018-11-30T00:00:00.000","Oldham","KY","Passenger","0","1","1","4","5","20.0"
"2019-01-31T00:00:00.000","Columbia","WA","Truck","0","0","0","1602","1602","0"
"2018-09-30T00:00:00.000","NULL","WA","Passenger","0","0","0","1","1","0"
"2018-08-31T00:00:00.000","Spokane","WA","Passenger","393","369","762","311426","312188","0.2440836931592501953950824503"
"2019-01-31T00:00:00.000","Guilford","NC","Passenger","1","0","1","24","25","4.00"
"2018-09-30T00:00:00.000","Alexandria City","VA","Passenger","2","0","2","162","164","1.219512195121951219512195122"
"2018-11-30T00:00:00.000","Pierce","WA","Passenger","1685","1435","3120","548947","552067","0.5651487953454924855135336834"
"2019-01-31T00:00:00.000","Riley","KS","Passenger","1","0","1","73","74","1.351351351351351351351351351"
"2019-01-31T00:00:00.000","Harris","TX","Passenger","0","1","1","231","232","0.4310344827586206896551724138"
"2018-11-30T00:00:00.000","Pierce","WA","Truck","0","0","0","143309","143309","0"
"2019-01-31T00:00:00.000","Dakota","MN","Passenger","0","1","1","30","31","3.225806451612903225806451613"
"2019-01-31T00:00:00.000","Dale","AL","Passenger","0","1","1","64","65","1.538461538461538461538461538"
"2018-04-30T00:00:00.000","Garfield","OK","Passenger","1","0","1","20","21","4.761904761904761904761904762"
"2019-01-31T00:00:00.000","Dekalb","IN","Passenger","1","0","1","1","2","50.0"
"2018-04-30T00:00:00.000","Oklahoma","OK","Passenger","0","1","1","122","123","0.8130081300813008130081300813"
"2019-01-31T00:00:00.000","Honolulu","HI","Passenger","2","1","3","489","492","0.6097560975609756097560975610"
"2018-09-30T00:00:00.000","Benton","WA","Passenger","203","219","422","134956","135378","0.3117197772163867098051382056"
"2018-04-30T00:00:00.000","Orange","CA","Passenger","3","1","4","589","593","0.6745362563237774030354131535"
"2019-01-31T00:00:00.000","Santa Rosa","FL","Passenger","1","0","1","82","83","1.204819277108433734939759036"
"2018-11-30T00:00:00.000","Riverside","CA","Passenger","0","2","2","673","675","0.2962962962962962962962962963"
"2018-08-31T00:00:00.000","Utah","UT","Passenger","0","1","1","132","133","0.7518796992481203007518796992"
"2018-09-30T00:00:00.000","Brevard","FL","Passenger","0","1","1","83","84","1.190476190476190476190476190"
"2018-11-30T00:00:00.000","Saint Clair","IL","Passenger","0","1","1","165","166","0.6024096385542168674698795181"
"2018-04-30T00:00:00.000","Pend Oreille","WA","Passenger","5","5","10","9884","9894","0.1010713563776025874267232666"
"2018-04-30T00:00:00.000","Guilford","NC","Passenger","1","0","1","30","31","3.225806451612903225806451613"
"2018-08-31T00:00:00.000","Ventura","CA","Passenger","0","2","2","316","318","0.6289308176100628930817610063"
"2018-11-30T00:00:00.000","Saint Marys","MD","Passenger","1","0","1","206","207","0.4830917874396135265700483092"
"2018-04-30T00:00:00.000","Honolulu","HI","Passenger","3","1","4","523","527","0.7590132827324478178368121442"
"2018-11-30T00:00:00.000","San Juan","WA","Passenger","178","70","248","14548","14796","1.676128683427953500946201676"
"2019-01-31T00:00:00.000","Thurston","WA","Truck","0","0","0","56358","56358","0"
"2018-11-30T00:00:00.000","Santa Clara","CA","Passenger","8","1","9","358","367","2.452316076294277929155313351"
"2018-08-31T00:00:00.000","Whitman","WA","Passenger","21","31","52","23163","23215","0.2239931079043721731639026491"
"2019-01-31T00:00:00.000","Howard","MD","Passenger","0","1","1","97","98","1.020408163265306122448979592"
"2019-01-31T00:00:00.000","Liberty","GA","Passenger","1","0","1","154","155","0.6451612903225806451612903226"
"2019-01-31T00:00:00.000","Jefferson","CO","Passenger","0","2","2","63","65","3.076923076923076923076923077"
"2018-09-30T00:00:00.000","Clallam","WA","Passenger","136","128","264","51059","51323","0.5143892601757496638933811352"
"2018-08-31T00:00:00.000","Yakima","WA","Truck","0","0","0","61021","61021","0"
"2018-04-30T00:00:00.000","Riley","KS","Passenger","1","0","1","88","89","1.123595505617977528089887640"
"2018-11-30T00:00:00.000","Thurston","WA","Truck","0","0","0","56334","56334","0"
"2018-09-30T00:00:00.000","NULL","NULL","Passenger","6","5","11","2213","2224","0.4946043165467625899280575540"
"2019-01-31T00:00:00.000","Marion","IN","Passenger","1","0","1","117","118","0.8474576271186440677966101695"
"2019-01-31T00:00:00.000","Mason","WA","Passenger","132","117","249","47712","47961","0.5191718271095264902733470945"
"2018-09-30T00:00:00.000","Adams","WA","Passenger","5","5","10","13074","13084","0.07642922653622745337817181290"
"2018-11-30T00:00:00.000","Tulsa","OK","Passenger","0","1","1","41","42","2.380952380952380952380952381"
"2018-09-30T00:00:00.000","Anne Arundel","MD","Passenger","0","2","2","461","463","0.4319654427645788336933045356"
"2018-11-30T00:00:00.000","Volusia","FL","Passenger","0","1","1","31","32","3.12500"
"2018-09-30T00:00:00.000","Dakota","MN","Passenger","0","1","1","30","31","3.225806451612903225806451613"
"2019-01-31T00:00:00.000","Miami-Dade","FL","Passenger","0","1","1","111","112","0.8928571428571428571428571429"
"2018-04-30T00:00:00.000","Santa Rosa","FL","Passenger","1","0","1","94","95","1.052631578947368421052631579"
"2018-09-30T00:00:00.000","Asotin","WA","Passenger","12","9","21","12961","12982","0.1617624403019565552303189031"
"2019-02-28T00:00:00.000","Beaufort","SC","Passenger","1","0","1","33","34","2.941176470588235294117647059"
"2019-01-31T00:00:00.000","Montgomery","AL","Passenger","0","1","1","44","45","2.222222222222222222222222222"
"2019-01-31T00:00:00.000","Marion","OR","Passenger","1","0","1","103","104","0.9615384615384615384615384615"
"2018-12-31T00:00:00.000","NULL","WA","Truck","0","0","0","3","3","0"
"2018-04-30T00:00:00.000","Lewis","WA","Truck","0","0","0","26241","26241","0"
"2018-12-31T00:00:00.000","Albemarle","VA","Passenger","1","0","1","29","30","3.333333333333333333333333333"
"2019-02-28T00:00:00.000","Bucks","PA","Passenger","1","0","1","19","20","5.00"
"2019-01-31T00:00:00.000","Norfolk City","VA","Passenger","3","2","5","357","362","1.381215469613259668508287293"
"2019-01-31T00:00:00.000","Multnomah","OR","Passenger","3","5","8","751","759","1.054018445322793148880105402"
"2018-09-30T00:00:00.000","Fairfax City","VA","Passenger","1","0","1","9","10","10.0"
"2018-12-31T00:00:00.000","Asotin","WA","Truck","0","0","0","6861","6861","0"
"2019-02-28T00:00:00.000","Camden","GA","Passenger","0","1","1","161","162","0.6172839506172839506172839506"
"2019-01-31T00:00:00.000","Nassau","NY","Passenger","2","0","2","30","32","6.2500"
"2019-01-31T00:00:00.000","Okanogan","WA","Truck","0","0","0","4253","4253","0"
"2018-12-31T00:00:00.000","Broward","FL","Passenger","1","1","2","125","127","1.574803149606299212598425197"
"2018-09-30T00:00:00.000","Glacier","MT","Passenger","0","1","1","4","5","20.0"
"2019-01-31T00:00:00.000","Pinal","AZ","Passenger","2","0","2","173","175","1.142857142857142857142857143"
"2018-12-31T00:00:00.000","Caddo","LA","Passenger","1","1","2","20","22","9.090909090909090909090909091"
"2019-02-28T00:00:00.000","Columbia","GA","Passenger","1","1","2","156","158","1.265822784810126582278481013"
"2019-01-31T00:00:00.000","Pierce","WA","Truck","0","0","0","143496","143496","0"
"2018-09-30T00:00:00.000","Guilford","NC","Passenger","1","0","1","25","26","3.846153846153846153846153846"
"2018-04-30T00:00:00.000","Ventura","CA","Passenger","0","1","1","324","325","0.3076923076923076923076923077"
"2019-02-28T00:00:00.000","Columbia","WA","Passenger","2","2","4","2487","2491","0.1605780810919309514251304697"
"2018-12-31T00:00:00.000","Carson City","NV","Passenger","1","0","1","12","13","7.692307692307692307692307692"
"2018-04-30T00:00:00.000","Wahkiakum","WA","Passenger","2","3","5","2942","2947","0.1696640651510010179843909060"
"2019-01-31T00:00:00.000","Riverside","CA","Passenger","0","2","2","656","658","0.3039513677811550151975683891"
"2019-02-28T00:00:00.000","Dekalb","IN","Passenger","1","0","1","1","2","50.0"
"2019-02-28T00:00:00.000","District Of Columbia","DC","Passenger","1","2","3","212","215","1.395348837209302325581395349"
"2018-04-30T00:00:00.000","Nueces","TX","Passenger","1","1","2","105","107","1.869158878504672897196261682"
"2019-01-31T00:00:00.000","Saint Marys","MD","Passenger","1","0","1","200","201","0.4975124378109452736318407960"
"2019-01-31T00:00:00.000","Saint Lucie","FL","Passenger","1","0","1","24","25","4.00"
"2018-04-30T00:00:00.000","Okanogan","WA","Truck","0","0","0","4341","4341","0"
"2019-01-31T00:00:00.000","San Diego","CA","Passenger","7","4","11","2641","2652","0.4147812971342383107088989442"
"2019-01-31T00:00:00.000","San Juan","WA","Truck","0","0","0","5995","5995","0"
"2019-02-28T00:00:00.000","Douglas","NE","Passenger","0","1","1","65","66","1.515151515151515151515151515"
"2018-12-31T00:00:00.000","Cook","IL","Passenger","1","0","1","236","237","0.4219409282700421940928270042"
"2019-01-31T00:00:00.000","Santa Clara","CA","Passenger","8","1","9","351","360","2.500"
"2018-09-30T00:00:00.000","Douglas","WA","Passenger","49","32","81","28429","28510","0.2841108383023500526131182041"
"2019-02-28T00:00:00.000","Ferry","WA","Passenger","3","2","5","4571","4576","0.1092657342657342657342657343"
"2019-01-31T00:00:00.000","Shelby","TN","Passenger","0","1","1","102","103","0.9708737864077669902912621359"
"2018-12-31T00:00:00.000","Cumberland","NC","Passenger","0","1","1","545","546","0.1831501831501831501831501832"
"2018-09-30T00:00:00.000","Jefferson","CO","Passenger","0","1","1","65","66","1.515151515151515151515151515"
"2018-09-30T00:00:00.000","Fairfax","VA","Passenger","1","3","4","793","797","0.5018820577164366373902132999"
"2019-01-31T00:00:00.000","Spartanburg","SC","Passenger","0","1","1","27","28","3.571428571428571428571428571"
"2018-05-31T00:00:00.000","Alexandria City","VA","Passenger","2","0","2","167","169","1.183431952662721893491124260"
"2018-09-30T00:00:00.000","Flathead","MT","Passenger","1","0","1","47","48","2.083333333333333333333333333"
"2019-02-28T00:00:00.000","Grays Harbor","WA","Truck","0","0","0","20914","20914","0"
"2019-02-28T00:00:00.000","Guadalupe","TX","Passenger","2","0","2","67","69","2.898550724637681159420289855"
"2019-01-31T00:00:00.000","Tulsa","OK","Passenger","0","1","1","43","44","2.272727272727272727272727273"
"2018-09-30T00:00:00.000","Franklin","WA","Passenger","45","67","112","59778","59890","0.1870095174486558690933377859"
"2019-01-31T00:00:00.000","Volusia","FL","Passenger","0","1","1","32","33","3.030303030303030303030303030"
"2019-01-31T00:00:00.000","Williamson","TX","Passenger","1","0","1","125","126","0.7936507936507936507936507937"
"2018-12-31T00:00:00.000","Garfield","WA","Passenger","1","1","2","1359","1361","0.1469507714915503306392358560"
"2018-12-31T00:00:00.000","Glacier","MT","Passenger","0","1","1","3","4","25.00"
"2019-02-28T00:00:00.000","Adams","WA","Truck","0","0","0","5355","5355","0"
"2018-09-30T00:00:00.000","Gwinnett","GA","Passenger","0","1","1","85","86","1.162790697674418604651162791"
"2018-12-31T00:00:00.000","Guilford","NC","Passenger","1","0","1","24","25","4.00"
"2018-05-31T00:00:00.000","Brevard","FL","Passenger","0","1","1","89","90","1.111111111111111111111111111"
"2018-04-30T00:00:00.000","San Juan","WA","Passenger","145","56","201","14331","14532","1.383154417836498761354252684"
"2018-09-30T00:00:00.000","Mason","WA","Passenger","116","101","217","47202","47419","0.4576224720048925536177481600"
"2019-02-28T00:00:00.000","Allegheny","PA","Passenger","1","0","1","76","77","1.298701298701298701298701299"
"2018-09-30T00:00:00.000","Mason","WA","Truck","0","0","0","20771","20771","0"
"2018-04-30T00:00:00.000","San Mateo","CA","Passenger","1","1","2","135","137","1.459854014598540145985401460"
"2019-02-28T00:00:00.000","Arlington","VA","Passenger","1","2","3","154","157","1.910828025477707006369426752"
"2018-09-30T00:00:00.000","Honolulu","HI","Passenger","2","1","3","502","505","0.5940594059405940594059405941"
"2018-04-30T00:00:00.000","Santa Fe","NM","Passenger","0","1","1","39","40","2.500"
"2019-02-28T00:00:00.000","Kittitas","WA","Passenger","77","37","114","30190","30304","0.3761879619852164730728616684"
"2018-09-30T00:00:00.000","Miami-Dade","FL","Passenger","0","1","1","109","110","0.9090909090909090909090909091"
"2019-02-28T00:00:00.000","Klamath","OR","Passenger","1","0","1","25","26","3.846153846153846153846153846"
"2018-09-30T00:00:00.000","Island","WA","Passenger","241","217","458","64033","64491","0.7101766137910716223969236017"
"2019-02-28T00:00:00.000","Clark","NV","Passenger","2","1","3","664","667","0.4497751124437781109445277361"
"2019-02-28T00:00:00.000","Maricopa","AZ","Passenger","5","2","7","1351","1358","0.5154639175257731958762886598"
"2019-02-28T00:00:00.000","Marion","IN","Passenger","1","0","1","113","114","0.8771929824561403508771929825"
"2018-05-31T00:00:00.000","Columbia","WA","Passenger","2","1","3","2463","2466","0.1216545012165450121654501217"
"2018-09-30T00:00:00.000","King","WA","Truck","8","1","9","187846","187855","0.004790929174097042932048654547"
"2019-02-28T00:00:00.000","Columbia","WA","Truck","0","0","0","1597","1597","0"
"2019-02-28T00:00:00.000","Maui","HI","Passenger","1","0","1","49","50","2.00"
"2018-09-30T00:00:00.000","Kitsap","WA","Truck","1","0","1","54943","54944","0.001820034944670937682003494467"
"2018-12-31T00:00:00.000","Mason","WA","Passenger","130","112","242","47517","47759","0.5067107770263196465587637932"
